,BUSI_PROFITS,NET_INCM,TTL_LIAB,CREDIT_RNK,INTEREST
134,7324008276,4673849212,13815898366,6,1.75
135,13914956594,8677390140,67189420987,2,1.62
136,18749881452,16231655144,30166995076,6,1.59
137,-2564792220,-3613121389,6479971403,5,1.81
138,2006408352,2902872761,3160469443,5,1.62
139,-2163574905,-13311033409,86244221210,3,2.76
140,-1551396658,-2486587653,50818048235,4,2.03
141,5666559077,5871608576,50073307548,7,2.07
142,9775700730,8524480613,5933562951,5,1.52
143,-1612340779,-2795032053,20736695064,6,1.99
144,16150829300,21146839202,125451788398,4,1.91
145,1334885209,-1631889629,1499638830,3,1.52
146,12852408033,10236081735,70310744135,5,1.89
147,15898458937,11606678564,74421267901,5,1.89
148,11256001412,8146704944,71008097125,7,2.16
149,727982692,357390191,28979994700,5,1.86
150,4318017284,214650201,66736921520,4,2.08
151,15937752853,14642103253,10490540520,5,1.42
152,4411332486,4185972645,46344385135,4,1.78
153,3062728877,855688018,76713122791,5,2.25
154,-1708653084,-1021721151,12630923647,3,1.58
155,2102594182,3706935312,31037840017,5,1.79
156,4315389901,3260754007,8832299285,3,1.45
157,11297544540,9509229370,89958703443,5,2.08
158,5735988048,4807470462,30669349575,4,1.66
159,881104551,-664742250,18203168074,3,1.61
160,655117632,1074256130,17889273449,3,1.56
161,-3252307117,-4201349764,57689389548,5,2.25
162,15131833337,14343994839,22379360299,5,1.49
163,3475801936,3133629986,4271818900,6,1.73
164,23253225218,15829159700,95612080582,6,2.03
165,2094289310,-2484707053,68221396161,4,2.19
166,2190676534,1963841194,9037401129,3,1.48
167,45832455,356093463,6139313261,5,1.7
168,2121537004,1154779711,31520263721,6,1.96
169,12595702294,10722193363,33109945110,3,1.43
170,4180260275,7996311584,3667023658,5,1.52
171,50461464,474263332,33569196790,5,1.89
172,-5887610330,5049031049,95141840661,3,2.07
173,-5549242608,-16437846792,25651744381,2,2.08
174,135795816,-6636572260,15501689175,5,1.96
175,16747379092,14098992344,58152003395,4,1.61
176,1469872996,1046829782,47544066450,4,1.89
177,133503750,6286540409,29908013421,4,1.61
178,-7106603047,-21365618595,20568019126,7,2.72
179,10902258007,10844082478,128743869047,4,2.29
180,434290385,317100449,16118089439,3,1.57
181,231575097,544254306,45691366326,4,1.89
182,-5709497756,-5415548407,34253020386,5,2.08
183,772459399,1915432454,27009766460,6,1.91
184,1242245431,2051059053,29641537111,5,1.82
185,6431879743,5134187102,6804554838,4,1.5
186,-3402361735,-4146155504,11741621568,5,1.86
187,5681250927,4835243850,9515810785,3,1.42
188,5765702799,3135497137,65434763457,3,1.87
189,3494513511,706516248,83268553803,4,2.22
190,1648990997,2668469279,48769499589,4,1.85
191,12226910707,9077424290,158394206653,3,2.61
192,891230679,436282625,35128638186,1,1.51
193,19530471178,15280745939,24824414329,2,1.18
194,3186259878,-7012600319,61080843569,3,2.18
195,7391215169,6084971385,44343072488,5,1.82
196,-463217892,871488272,10199889172,3,1.52
197,575655155,-657458971,50152935197,1,1.66
198,4050403632,1738795778,82677272485,3,2.07
199,2141087737,2625423747,14919533298,7,1.9
200,16512114298,14059262599,13920162770,4,1.35
201,9914996320,6054050783,78874456912,3,1.89
202,-846090574,1919614109,21099418378,5,1.76
203,-4639062187,-4038216790,34021140820,4,1.93
204,-5993780696,-19980211641,11146929962,6,2.47
205,-920018206,-354808043,8586830611,7,1.94
206,-2874819444,-8181715561,57271887537,2,2.09
207,2127067811,2219520179,9932563186,4,1.58
208,6949035711,193198605,40633199726,5,1.96
